name,address,website,phno,email
Resonance,"East Campus-14, Pratap Nagar, Mayur Vihar, Phase 1, Delhi, 110096",http://www.delhi.resonance.ac.in/index.aspx,"['9015117327', '9310334610', '011-60606603', ' 60606604', ' 60606605']","['delhie@resonance.ac.in', 'delhi@resonance.ac.in']"
FIITJEE,"31, 32, 33, Central Market, West Punjabi Bagh, Delhi, 110026",http://www.fiitjee.com,"['011-45634000', ' 45634003']","['dist.edu@fiitjee.com', 'info@fiitjee.com']"
Aakash Institute,"K-11, South Extension Part- I, Delhi, 110049",http://www.aakashinstitute.com,"['011-39454545', ' 46203456', ' 46203234']",[]
Rao IIT Academy,"Ground Floor, A1/173A, Near Eye7 Chaudhary Eye Centre,Metro Pillar No.613,Janakpuri, , Delhi, 110058",http://www.raoiitacademy.com,"['7065700037', '7065700038']",['studentcare@raoiit.com']
PACE IIT and Medical,"65-A, First Floor, OMPRO Tower, Kalu Sarai, Delhi, 110017",http://www.iitianspace.com,"['9999732400', '9582633552', '011-41032930', ' 41657741']","['pacedelhi@iitianspace.com', 'info@iitianspace.com']"
Narayana IIT Academy,"201-A, 2nd Floor, Dimension Durga Tower, Plot No. 10, Sector 4, Dwarka, Delhi, 110075",http://www.narayanadelhi.com,"['011-45621724', '011-45621725']","['complaints@narayanagroup.com', 'complaint.dwarka@gmail.com']"
Sri Chaitanya,"11, Central Market, Punjabi Bagh West, Delhi, 110026",http://www.srichaitanyadelhi.com,"['011-45073451', ' 45073452']",[]
Takshila Institute,"Corporate Office- D-11/154, First Floor, Sector 8, Rohini, Opp. Metro Pillar No. 389,, Delhi, 110085",http://takshilainstitute.com,"['9310378303', '9868445900', '011-27940381', ' 27940373']",[]
Amity Institute for Competitive Examinations,"Head Office- #E-25, Defence Colony, Delhi, 110024",http://www.amity.edu/aice,"['011-24336143', ' 24336144', ' 24331000', ' 24331002']",[]
Career Launcher,"A-18, Rama House, First Floor, Middle Circle, Connaught Place, Delhi, 110001",http://www.careerlauncher.com/delhi/,"['9999665300', '011-47772100']","['https://www.careerlauncher.com/chennai/', 'support@careerlauncher.com', 'cp@careerlaucher.com']"
Focus IIT JEE Academy,"F-638, First Floor, Palam Extension, Sector 7, Dwarka, Delhi, 110045",http://www.focusiitjee.com,"['9928257878', '9929219440', '011-65176500']","['info@focusiitjee.com', 'fjaipur@gmail.com']"
Vidyamandir Classes,"55 - B, Ground Floor, Nisha Complex, Kalu Sarai, Delhi, 110016",http://www.vidyamandir.com,['011-42156441'],"['http://www.vidyamandir.com', 'kalusarai@vidyamandir.com']"
PIE Education,"A-8, 2nd Floor, Vikaspuri, Delhi, 110018",http://www.pieeducation.in/,"['011-45070601', ' 45070602']",[]
Avanti Learning Centre,"No. 212-A, 2nd Floor Shahpur Jat, Hauz Khas, Delhi, 110016",http://avanti.in,['8268049991'],['info@avanti.in']
Lakshya Institute,"ED 15-C, Pitampura, Delhi, 110034",https://www.facebook.com/lakshyainstitute,"['9971272000', '9971275000', '011-27310051']",[]
Acharya,"E-360, 3rd Floor, Nirman Vihar, Vikas Marg, Delhi, 110092",http://acharya4success.com,"['9990455331', '9990834440', '991118922', '011-22529975']",['acharya.inst123@gmail.com']
Singh Study Circle,"A-54, Prashant Vihar (Opp. Lancer Convent School) Rohini, Sector XIV, Delhi, 110085",http://www.singhstudycircle.org,"['011-27556722', '47035337']",['support@singhstudycircle.in']
Brilliant Tutorials,"#19-20, Central Market, Punjabi Bagh-West, Delhi, 110026",,"['9654297941', '011-25221424', ' 25221425']",[]
Byju's Classes,"Boali Gate Rd, Opp The LodhiNizamuddin, Nizammudin West Slum, Nizamuddin WestIndia, Delhi, 110013",http://www.byjusclasses.com,"['9873643487', '9241333666', '9880031619']","['support@byjus.com', 'contact@byjus.com']"
Quest Tutorials,"AC–1B, Shalimar Bagh, Delhi,",https://www.facebook.com/Quest.IITEE,['9811373334'],[]
Speed Institute,"118/4, Sudarsan Street, Shivam House Basement, Goutam Nagar, Delhi, 110049",http://www.speedmedicalcentre.com/,"['9310034432', '9310034433']",['contact@speedmedicalcentre.com']
Study Mate,"2nd Floor, Jwalaheri Market, Above Richlook, Paschim Vihar, Delhi, 110063",http://studymateonline.com,"['', '011-64788505', ' 69413305']","['mohit.yadav@studymateonline.in', 'helpline@studymateonline.com']"
Career Endeavour Academy,"28-A/11, Jia Sarai, Near-IIT Hauz Khas, New Delhi, Delhi, 110016",http://careerendeavour.com,"['011-26851008', '011-26851009']",['info@careerendeavour.in']
Turning Point,"H-36 B, Delhi, 110019",http://www.theturningpointonline.com,"['8527363749', '011-26228900', ' 40601840']",['info@theturningpointonline.com']
The Shri Ram Coaching Classes,"A-8, Second Floor, Acharya Niketan, Above UCO Bank, Mayur Vihar - 1, Delhi, 110091",http://www.tsrcc.in,"['8588828031', '011-43011729']",['tsrcc@shrieducare.com']
Vidya Kendra,"B-1/10-A, Yamuna Vihar, Near Mohan Nursing Home, Delhi, 110053",http://www.vidyakendra.com,[],"['vidyakendra3sit@gmail.com', 'sksinghiitg@gmail.com']"
IIT Study Circle,"A-1/171, Main Najafgarh Road, Janakpuri, Delhi, 110018",,"['9266670812', '011-64657273']","['http://ww1.iitstudycircle.org/', 'info@iitstudycircle.org']"
Target IITJEE-PMT Classes,"106 1st Floor, Pragati Deep Building, District Centre, Laxminagar, Delhi, 110092",https://www.targetiitjeepmtclasses.com/,"['011-65007177', '011-43034114']",['info@targetiitjeepmtclasses.com']
Nutan Universal Academy,"28/1, second floor, shakti nagar, Delhi, 110007",http://nutanuniversalacademy.com/,"['9811177527', '9811177507', '9711543004']",['info@nutanuniversalacademy.com']
Disha Classes,"Head Office- 13, Central Market, Ashok Vihar, Phase 1, Delhi, 110052",http://www.dishaclasses.com,"['011-27466246', ' 27221300', ' 42283187']",['disha_classes@yahoo.com']
Whizdom Excellence in Education,"61– C, Kalu Sarai, Sarvapriya Vihar, New Delhi, India-, Delhi, 110016",http://www.whizdomedu.com,"['9717789009', '011-48100000']",['info@whizdomedu.com']
Future Edge,"Corporate Office- 364, First Floor, Kohat Enclave, Pitampura, Delhi, 110034",http://www.futureedge.in,"['858684577', '9643103458', '011-41845255']",['info@FutureEdge.in']
The Guidance,"South Delhi- 58/1, Kalu Sarai, Opp. Sarvpriya Vihar, Delhi, 110016",http://www.theguidance.co.in,"['7428594526', '011-46043741', ' 41828089']",['amrguidance13@gmail.com']
Maharishi Basant Tutorials,"B-1/637, Opp. Metro Pillar No. 563, Janakpuri, Delhi, 110058",http://www.maharishibasanttutorials.com/index.html,"['9212546456', '011-41027641', ' 64617641', ' 64658771']",['info@maharishibasanttutorials.com']
Career Avenues,"O/92- First Floor, Bank Street, Near SBI and HDFC ATM, Munirka, Delhi, 110067",http://www.careeravenues.info,"['9810258467 - Director', '011-65659046', ' 40666674']",['caadmission@gmail.com']
Vision IIT JEE and PMT,"Shop No:A/177,A-Block, Chatrapati Shivaji Marg, Janakpuri, Block A1, Janakpuri, Delhi, 110058",http://visionpmt.in/about.php,"['8506014999', '011-49584958', ' Toll Free- 18002702705']","['visionpmt.in@gmail.com', 'contact@visionpmt.in']"
Sehgal School of Competitions,"182, II & III Floor, Pkt-D-12, Sector 8, Rohini, Delhi, 110085",https://www.facebook.com/sehgalschoolofficial/,"['9599338288', '8810674693']",['http://www.sehgalschool.com/']
Bansal Learning,"G-10A , Ground Floor, Roots Tower , Laxmi Nagar District Centre, Delhi, 110092",https://www.bansallearning.com,['011-43013575'],['info@BansalLearning.com']
Erose Educational Infotech,"M-147, Block M, Greater Kailash II, Greater Kailash, New Delhi, Delhi 110048, Delhi, 110048",http://www.erose.in,['011-65104040'],['info@erose.in']
Kshitij Education India,"B-206, Dwarka Sector 7, Palam Extn., Delhi, 110045",http://www.kshitij-iitjee.com,"['9718199348', '011-64739348', ' 64599348', ' 64649348', ' 65659348']",[]
Sigma Classes,"Batra cinema complex, Mukherjee Nagar, Delhi, 110009",https://sigma-classes-info.business.site/?utm_source=gmb&utm_medium=referral,"['8368649911', '01140113736']",['sigmaclasses7@gmail.com']
Sarthak Institute,"Branch Office- A-1/17, Ground Floor, Janakpuri, (Opposite Metro Pilar No. 636), Delhi, 110058",http://www.sarthakinstitute.com,"['9582316557', '9278035655', '011-65570655']",['info@sarthakinstitute.com']
I Books Institute,"Head Office- 63, Mohit Nagar (Opposite NSIT) Sector- 14/3 Crossing, Dwarka, Delhi, 110078",http://www.ibks.in/,"['9911230000', '9911230011', '011-25088370']",['enquiry@ibks.in']
KVN Classes,"Stall No. 25, 26, Central Market, Punjabi Bagh West, Adjacent Domino's Pizza, Delhi, 110026",http://www.kvnclasses.com,"['8527962224', '011-65156230', '011-45085550']",['kvnclasses.pb@gmail.com']
