,Name,url
0,"
                                                    Resonance
                                                ",https://www.exambazaar.com/c/resonance/mayur-vihar-phase-1-new-delhi
1,"
                                                    FIITJEE
                                                ",https://www.exambazaar.com/c/fiitjee/punjabi-bagh-delhi
2,"
                                                    Aakash Institute
                                                ",https://www.exambazaar.com/c/aakash-institute/south-extension-i-delhi
3,"
                                                    Rao IIT Academy
                                                ",https://www.exambazaar.com/c/rao-iit-academy/janakpuri-delhi
4,"
                                                    PACE IIT and Medical
                                                ",https://www.exambazaar.com/c/pace-iit-and-medical/kalu-sarai-delhi
5,"
                                                    Narayana IIT Academy
                                                ",https://www.exambazaar.com/c/narayana-iit-academy/dwarka-delhi
6,"
                                                    Sri Chaitanya
                                                ",https://www.exambazaar.com/c/sri-chaitanya/punjabi-bagh-delhi
7,"
                                                    Takshila Institute
                                                ",https://www.exambazaar.com/c/takshila-institute/rohini-delhi
9,"
                                                    Amity Institute for Competitive Examinations
                                                ",https://www.exambazaar.com/c/amity-institute-for-competitive-examinations/defence-colony-delhi
11,"
                                                    Career Launcher
                                                ",https://www.exambazaar.com/c/career-launcher/connaught-place-delhi
13,"
                                                    Focus IIT JEE Academy
                                                ",https://www.exambazaar.com/c/focus-iit-jee-academy/dwarka-delhi
15,"
                                                    Vidyamandir Classes
                                                ",https://www.exambazaar.com/c/vidyamandir-classes/kalu-sarai-delhi
16,"
                                                    PIE Education
                                                ",https://www.exambazaar.com/c/pie-education/vikaspuri-delhi
18,"
                                                    Avanti Learning Centre
                                                ",https://www.exambazaar.com/c/avanti-learning-centre/siri-fort-delhi
20,"
                                                    Lakshya Institute
                                                ",https://www.exambazaar.com/c/lakshya-institute/rohini-delhi
22,"
                                                    Acharya
                                                ",https://www.exambazaar.com/c/acharya/preet-vihar-delhi
24,"
                                                    Singh Study Circle
                                                ",https://www.exambazaar.com/c/singh-study-circle/rohini-delhi
26,"
                                                    Brilliant Tutorials
                                                ",https://www.exambazaar.com/c/brilliant-tutorials/burari-delhi
28,"
                                                    Byju's Classes
                                                ",https://www.exambazaar.com/c/byjus-classes/rajinder-nagar-delhi
29,"
                                                    Quest Tutorials
                                                ",https://www.exambazaar.com/c/quest-tutorials/ashok-vihar-delhi
31,"
                                                    Speed Institute
                                                ",https://www.exambazaar.com/c/speed-institute/gautam-nagar-delhi
33,"
                                                    Study Mate
                                                ",https://www.exambazaar.com/c/study-mate/paschim-vihar-delhi
35,"
                                                    Career Endeavour Academy
                                                ",https://www.exambazaar.com/c/career-endeavour-academy/hauz-khas-delhi
36,"
                                                    Turning Point
                                                ",https://www.exambazaar.com/c/turning-point/kalkaji-delhi
38,"
                                                    The Shri Ram Coaching Classes
                                                ",https://www.exambazaar.com/c/the-shri-ram-coaching-classes/mayur-vihar-phase-1-delhi
40,"
                                                    Vidya Kendra
                                                ",https://www.exambazaar.com/c/vidya-kendra/shahdara-delhi
42,"
                                                    IIT Study Circle
                                                ",https://www.exambazaar.com/c/iit-study-circle/main-najafgarh-road-delhi
44,"
                                                    Target IITJEE-PMT Classes
                                                ",https://www.exambazaar.com/c/target-iitjee-pmt-classes/swasthya-vihar-delhi
46,"
                                                    Nutan Universal Academy
                                                ",https://www.exambazaar.com/c/nutan-universal-academy/shakti-nagar-delhi
47,"
                                                    Disha Classes
                                                ",https://www.exambazaar.com/c/disha-classes/ashok-vihar-delhi
48,"
                                                    Whizdom Excellence in Education
                                                ",https://www.exambazaar.com/c/whizdom-excellence-in-education/sarvapriya-vihar-delhi
50,"
                                                    Future Edge
                                                ",https://www.exambazaar.com/c/future-edge/pitampura-delhi
52,"
                                                    The Guidance
                                                ",https://www.exambazaar.com/c/the-guidance/kalu-sarai-delhi
54,"
                                                    Maharishi Basant Tutorials
                                                ",https://www.exambazaar.com/c/maharishi-basant-tutorials/janakpuri-delhi
56,"
                                                    Career Avenues
                                                ",https://www.exambazaar.com/c/career-avenues/munirka-delhi
58,"
                                                    Vision IIT JEE and PMT
                                                ",https://www.exambazaar.com/c/vision-iit-jee-and-pmt/janakpuri-delhi
60,"
                                                    Sehgal School of Competitions
                                                ",https://www.exambazaar.com/c/sehgal-school-of-competitions/rohini-delhi
62,"
                                                    Bansal Learning
                                                ",https://www.exambazaar.com/c/bansal-learning/swasthya-vihar-delhi
63,"
                                                    Erose Educational Infotech
                                                ",https://www.exambazaar.com/c/erose-educational-infotech/greater-kailash-delhi
65,"
                                                    Kshitij Education India
                                                ",https://www.exambazaar.com/c/kshitij-education-india/palam-colony-delhi
67,"
                                                    Sigma Classes
                                                ",https://www.exambazaar.com/c/sigma-classes/mukherjee-nagar-delhi
69,"
                                                    Sarthak Institute
                                                ",https://www.exambazaar.com/c/sarthak-institute/janakpuri-delhi
71,"
                                                    I Books Institute
                                                ",https://www.exambazaar.com/c/i-books-institute/dwarka-delhi
73,"
                                                    KVN Classes
                                                ",https://www.exambazaar.com/c/kvn-classes/punjabi-bagh-west-delhi
75,"
                                                    Anand Institute of Mathematics
                                                ",https://www.exambazaar.com/c/anand-institute-of-mathematics/hauz-khas-delhi
